country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Philippines,86.2k,86.4k,95.8k,64.9k,62k,56.9k,40.5k,42k,50.7k,37.1k,36.6k,34.8k,37k,48.4k,50.9k,46.5k,35.1k
Papua New Guinea,105k,86.5k,86.5k,66.8k,65k,99k,71k,38.1k,20.9k,18.6k,81.2k,1.64M,1.59M,1.65M,1.87M,1.79M,1.68M
North Korea,,,,,,,,,1090,7980,73.7k,297k,241k,60.6k,33.8k,11.5k,9350
Paraguay,2910,2980,1290,436,583,898,637,567,2090,9950,6850,2710,2780,1390,694,376,823
Russia,216,169,160,209,335,425,611,831,1080,792,795,898,642,,,,
Rwanda,1.28M,1.33M,1.37M,733k,372k,1.39M,1.15M,1.33M,1.28M,907k,,998k,1.07M,1.21M,1.29M,1.64M,1.42M
Saudi Arabia,15.7k,9960,19.6k,18.4k,10k,18.8k,21k,20.6k,40.8k,13.2k,6610,3070,2610,1720,1230,1060,1280
Sudan,7.51M,6.95M,9.33M,9.87M,8.56M,6.35M,4.59M,4.07M,5.06M,4.21M,4.33M,4.22M,3.52M,3.73M,2.6M,2.85M,2.23M
Senegal,,,,,450k,629k,,861k,949k,1.15M,1.12M,932k,961k,1.41M,1.2M,1.35M,1.55M
Solomon Islands,117k,141k,153k,126k,132k,119k,84.8k,68.1k,72.8k,63.2k,67.9k,76.4k,74.9k,90.6k,90.3k,76.4k,75.3k
Sierra Leone,,,,,,,7190,209k,250k,410k,,448k,507k,525k,356k,234k,161k
El Salvador,9270,5930,4540,3890,2800,3360,5890,2720,1180,1230,745,362,117,84,112,66,44
Somalia,,,,3050,,,,,,9060,10.4k,10.4k,96.9k,23.4k,36.7k,28.5k,49.3k
Sao Tome and Principe,,,,,,51.9k,47.1k,47.8k,46k,37k,43.5k,44k,51k,47.8k,53.9k,22.4k,7290
Suriname,1610,1490,1400,,4700,6610,16.6k,11.3k,12.4k,13.9k,13.1k,17.1k,13.1k,14.7k,8190,8740,3630
Eswatini,,,,,,,38.9k,23.8k,4410,30.4k,45.6k,18.8k,14.9k,11.5k,9490,8880,3760
Syria,107,54,456,966,583,626,345,130,60,43,42,79,27,24,13,28,34
Chad,213k,246k,229k,235k,278k,294k,278k,343k,395k,393k,369k,414k,463k,463k,395k,398k,400k
Togo,811k,781k,634k,561k,329k,,352k,367k,369k,413k,398k,499k,584k,490k,517k,438k,566k
Thailand,274k,198k,168k,115k,102k,82.7k,87.6k,97.5k,131k,125k,81.7k,63.5k,44.6k,37.4k,26.7k,29.8k,30.3k
Tajikistan,175,294,404,619,2410,6100,16.6k,29.8k,19.4k,13.5k,19.1k,11.4k,6160,5430,1800,1400,776
Turkmenistan,1,17,11,3,9,10,14,14,137,49,24,5,8,7,3,1,0
Turkey,8680,12.2k,18.7k,47.2k,84.3k,82.1k,60.9k,35.5k,36.8k,21k,11.4k,10.8k,10.2k,9210,5290,2050,767
Tanzania,10.7M,8.72M,7.68M,8.78M,7.98M,2.44M,4.97M,1.13M,30.5M,424k,,325k,369k,11.4M,11.9M,11.4M,10.6M
Uganda,,,2.45M,1.47M,2.19M,1.43M,,2.32M,2.85M,3.07M,,9M,9.8M,11M,12M,16M,12.8M
Uzbekistan,28,12,25,36,21,27,51,52,74,85,126,77,74,74,66,102,76
Venezuela,46.9k,43.5k,21.4k,12.5k,13.7k,16.4k,18.9k,22.4k,21.9k,19.1k,29.7k,29.5k,29.5k,31.7k,46.7k,45k,37.1k
Vietnam,124k,188k,226k,156k,140k,100k,84.6k,65.9k,72.1k,75.1k,74.3k,188k,185k,164k,128k,99.1k,91.3k
Vanuatu,28.8k,19.5k,13.3k,10.5k,3770,8320,5650,6100,6180,5150,6770,18.9k,34.2k,42.9k,39.7k,32.3k,21.2k
Yemen,11.4k,12.7k,29.3k,31.3k,37.2k,500k,416k,1.39M,,2.78M,1.39M,108k,187k,175k,159k,201k,217k
South Africa,6820,4690,2870,13.3k,10.3k,8750,27k,23.1k,26.4k,51.4k,64.6k,26.5k,15.7k,13.5k,13.4k,7760,12.1k
Zambia,1.93M,2.34M,2.95M,3.51M,3.51M,2.74M,3.22M,,3.4M,3.39M,3.6M,3.84M,3.76M,4.35M,4.08M,4.12M,4.73M
Zimbabwe,663k,581k,420k,878k,324k,762k,1.7M,1.85M,1.72M,1.8M,1.53M,681k,1.35M,1.82M,1.81M,1.5M,1.54M
